ID,English
ACCOLADE_ALLQUESTSCOMPLETED,Journeyman
ACCOLADE_COOPERATIVECARDSPLAYEDMORETHANTWICE,Diplomat
ACCOLADE_EQUIPPEDTHREEORMOREFOLLOWERS,Socialite
ACCOLADE_EQUIPPEDTHREEORMORETREASURES,Collector
ACCOLADE_LEASTGOLDSPENT,Thrifty
ACCOLADE_MORETHAN4SETTLEMENTSHELDATANYPOINT,Landlord
ACCOLADE_MOSTAPSPENTINSTEALTH,Shadow
ACCOLADE_MOSTBANESKILLEDINCOMBAT,Vanquisher
ACCOLADE_MOSTDEATHS,Martyr
ACCOLADE_MOSTGOLDEARNED,Goldfinger
ACCOLADE_MOSTHEROESKILLEDINCOMBAT,Destroyer
ACCOLADE_MOSTKINGSGUARDSKILLEDINCOMBAT,Infamous
ACCOLADE_MOSTROTGAINED,Harbinger
ACCOLADE_MOSTROTGAINEDFROMSPELLS,Necromancer
ACCOLADE_MOSTROTGIVENTOOTHERS,Corruptor
ACCOLADE_MOSTSETTLEMENTSCAPTURED,Conqueror
ACCOLADE_MOSTSPELLKILLS,Warlock
ACCOLADE_MOSTSPELLPERILSPLAYED,Sorcerer
ACCOLADE_MOSTTILESWALKEDACROSS,Wanderer
ACCOLADE_MOSTTRICKERYKILLS,Assassin
ACCOLADE_MOSTTRICKERYPERILSPLAYED,Strategist
ACCOLADE_MOSTWOUNDSHEALED,Healer
ACCOLADE_NOHEROKILLS,Pacifist
ACCOLADE_NONE,Unremarkable
ACCOLADE_NOSPELLSCAST,Pariah
ACCOLADE_NOTRICKERYCARDSPLAYED,Purist
ACCOLADE_SQUIRE_1,Squire
ACCOLADE_SQUIRE_2,Underdog
ACCOLADE_ZERODEATHS,Immortal
ACH_100_001_DESCRIPTION,Complete Armello's Prologue.
ACH_100_001_TITLE,Once Upon a Time...
ACH_100_002_DESCRIPTION,Win a game with Thane of the Wolf Clan.
ACH_100_002_TITLE,The Winter Wolf
ACH_100_003_DESCRIPTION,Win a game with Sana of the Bear Clan.
ACH_100_003_TITLE,Forest Sister
ACH_100_004_DESCRIPTION,Win a game with Amber of the Rabbit Clan.
ACH_100_004_TITLE,The Far Seeker
ACH_100_005_DESCRIPTION,Win a game with Mercurio of the Rat Clan.
ACH_100_005_TITLE,The Grinning Blade
ACH_100_006_DESCRIPTION,Win a game with River of the Wolf Clan.
ACH_100_006_TITLE,Howling Arrow
ACH_100_007_DESCRIPTION,Win a game with Brun of the Bear Clan.
ACH_100_007_TITLE,Oakbreaker
ACH_100_008_DESCRIPTION,Win a game with Barnaby of the Rabbit Clan.
ACH_100_008_TITLE,Screwloose
ACH_100_009_DESCRIPTION,Win a game with Zosha of the Rat Clan.
ACH_100_009_TITLE,The Whisper
ACH_100_010_DESCRIPTION,Win a game with a Kingslayer Victory.
ACH_100_010_TITLE,Kingslayer
ACH_100_011_DESCRIPTION,Win a game with a Prestige Victory
ACH_100_011_TITLE,Royal Steward
ACH_100_012_DESCRIPTION,Win a game with a Rot Victory.
ACH_100_012_TITLE,Blackheart
ACH_100_013_DESCRIPTION,Win a game with a Spirit Stone Victory.
ACH_100_013_TITLE,Spirit Walker
ACH_100_014_DESCRIPTION,"Kill the King in Battle, without taking any Wounds."
ACH_100_014_TITLE,Fortified Regicide
ACH_100_015_DESCRIPTION,Win a game of Armello without dying.
ACH_100_015_TITLE,Art of War
ACH_100_016_DESCRIPTION,Win a game with a Prestige Victory on the 9th Day or later.
ACH_100_016_TITLE,War of Attrition
ACH_100_017_DESCRIPTION,"As the Prestige Leader, attack the King."
ACH_100_017_TITLE,Hyena in the Pack
ACH_100_018_DESCRIPTION,Win a game of Armello without killing another Hero.
ACH_100_018_TITLE,Diplomat
ACH_100_019_DESCRIPTION,Pierce through 3 Shields in one Combat with Thane's Hero Power.
ACH_100_019_TITLE,Alpha
ACH_100_020_DESCRIPTION,Defeat a Corrupted Hero with Sana's Hero Power.
ACH_100_020_TITLE,Force of Nature
ACH_100_021_DESCRIPTION,"As Amber, have 3 Equipped Treasures and 3 Recruited Followers."
ACH_100_021_TITLE,Entourage
ACH_100_022_DESCRIPTION,Steal another Hero's last Gold using Mercurio's Hero power.
ACH_100_022_TITLE,Loose Change
ACH_100_023_DESCRIPTION,Annihilate another Hero with Brun's Hero power active.
ACH_100_023_TITLE,Ancients' Wrath
ACH_100_024_DESCRIPTION,Make 3 Kills in one Turn using River's Hero power.
ACH_100_024_TITLE,Cry us a River
ACH_100_025_DESCRIPTION,"As Barnaby, have three Items Equipped and a full Hand of Item Cards."
ACH_100_025_TITLE,Armed & Dangerous
ACH_100_026_DESCRIPTION,Finish a game with Zosha having never been revealed at Night.
ACH_100_026_TITLE,Missing Shadow
ACH_100_027_DESCRIPTION,Have the Spy Glass and Sailor's Lantern Equipped at the same time.
ACH_100_027_TITLE,All-Seeing Eye
ACH_100_028_DESCRIPTION,Have your Items grant you six or more Shields in Battle.
ACH_100_028_TITLE,Unbreakable
ACH_100_029_DESCRIPTION,"In a single game, kill 3 King's Guards with a Royal Pardon Equipped."
ACH_100_029_TITLE,Diplomatic Immunity
ACH_100_030_DESCRIPTION,"In a single game, find and Equip three Treasures from Dungeons."
ACH_100_030_TITLE,Iguana Jones
ACH_100_031_DESCRIPTION,Heal a Bane.
ACH_100_031_TITLE,Baned-Aid
ACH_100_032_DESCRIPTION,Steal the King's Crown in Battle with the Mirror Cape.
ACH_100_032_TITLE,The Fresh Prince
ACH_100_033_DESCRIPTION,Play Lightning Strike to a Hero standing on a Palace Tile.
ACH_100_033_TITLE,Thunder Dome
ACH_100_034_DESCRIPTION,Kill the same Hero 5 times in a single game.
ACH_100_034_TITLE,Bully Mammoth
ACH_100_035_DESCRIPTION,"In a single game, find two Portals by Exploring Dungeons."
ACH_100_035_TITLE,Down the Rabbit Hole
ACH_100_036_DESCRIPTION,"In one turn, Kill a Hero you have an Allies' Pact with and take one of their Settlements."
ACH_100_036_TITLE,Machiavellian
ACH_100_037_DESCRIPTION,Overcome ten Perils in a single game.
ACH_100_037_TITLE,Folk Hero
ACH_100_038_DESCRIPTION,"In a game, go from being Corrupt to having 0 Rot."
ACH_100_038_TITLE,Drop It Like It's Rot
