ID,SimplifiedChinese
ACCOLADE_ALLQUESTSCOMPLETED,游历者
ACCOLADE_COOPERATIVECARDSPLAYEDMORETHANTWICE,外交家
ACCOLADE_EQUIPPEDTHREEORMOREFOLLOWERS,社交家
ACCOLADE_EQUIPPEDTHREEORMORETREASURES,收藏家
ACCOLADE_LEASTGOLDSPENT,节俭家
ACCOLADE_MORETHAN4SETTLEMENTSHELDATANYPOINT,领主
ACCOLADE_MOSTAPSPENTINSTEALTH,暗影
ACCOLADE_MOSTBANESKILLEDINCOMBAT,诛灭者
ACCOLADE_MOSTDEATHS,殉道者
ACCOLADE_MOSTGOLDEARNED,金手指
ACCOLADE_MOSTHEROESKILLEDINCOMBAT,毁灭者
ACCOLADE_MOSTKINGSGUARDSKILLEDINCOMBAT,恶名远扬者
ACCOLADE_MOSTROTGAINED,先驱
ACCOLADE_MOSTROTGAINEDFROMSPELLS,亡灵巫师
ACCOLADE_MOSTROTGIVENTOOTHERS,腐化者
ACCOLADE_MOSTSETTLEMENTSCAPTURED,征服者
ACCOLADE_MOSTSPELLKILLS,术士
ACCOLADE_MOSTSPELLPERILSPLAYED,方士
ACCOLADE_MOSTTILESWALKEDACROSS,游荡者
ACCOLADE_MOSTTRICKERYKILLS,刺客
ACCOLADE_MOSTTRICKERYPERILSPLAYED,谋士
ACCOLADE_MOSTWOUNDSHEALED,医者
ACCOLADE_NOHEROKILLS,和平主义者
ACCOLADE_NONE,平庸无奇
ACCOLADE_NOSPELLSCAST,弃法者
ACCOLADE_NOTRICKERYCARDSPLAYED,纯粹者
ACCOLADE_SQUIRE_1,侍从
ACCOLADE_SQUIRE_2,弱者逆袭
ACCOLADE_ZERODEATHS,不朽者
ACH_100_001_DESCRIPTION,完成阿门罗的序章。
ACH_100_001_TITLE,从前……
ACH_100_002_DESCRIPTION,使用狼族塞恩赢得游戏。
ACH_100_002_TITLE,冬狼
ACH_100_003_DESCRIPTION,使用熊族萨娜赢得游戏。
ACH_100_003_TITLE,森林姊妹
ACH_100_004_DESCRIPTION,使用兔族安布尔赢得游戏。
ACH_100_004_TITLE,远寻者
ACH_100_005_DESCRIPTION,使用鼠族墨丘里奥赢得游戏。
ACH_100_005_TITLE,狞笑之刃
ACH_100_006_DESCRIPTION,使用狼族里弗赢得游戏。
ACH_100_006_TITLE,啸鸣之箭
ACH_100_007_DESCRIPTION,使用熊族布朗赢得游戏。
ACH_100_007_TITLE,伐橡树者
ACH_100_008_DESCRIPTION,使用兔族巴纳比赢得游戏。
ACH_100_008_TITLE,古怪之灵
ACH_100_009_DESCRIPTION,使用鼠族佐沙赢得游戏。
ACH_100_009_TITLE,低语者
ACH_100_010_DESCRIPTION,以弑君者的方式赢得一场游戏。
ACH_100_010_TITLE,弑君者
ACH_100_011_DESCRIPTION,获得一次威望胜利
ACH_100_011_TITLE,皇家总管
ACH_100_012_DESCRIPTION,取得一次腐化胜利。
ACH_100_012_TITLE,黑心
ACH_100_013_DESCRIPTION,取得一次灵石胜利
ACH_100_013_TITLE,灵界行者
ACH_100_014_DESCRIPTION,在战斗中无伤杀死国王。
ACH_100_014_TITLE,设防弑君
ACH_100_015_DESCRIPTION,不死通关
ACH_100_015_TITLE,战争艺术
ACH_100_016_DESCRIPTION,在第9天或之后取得威望胜利
ACH_100_016_TITLE,消耗战
ACH_100_017_DESCRIPTION,作为声望领袖，攻击国王。
ACH_100_017_TITLE,狼群中的鬣狗
ACH_100_018_DESCRIPTION,在不杀死其他英雄的情况下赢下一局阿门罗游戏。
ACH_100_018_TITLE,外交家
ACH_100_019_DESCRIPTION,在一场战斗中，利用塞恩的英雄技能击穿敌方至少 3 盾。
ACH_100_019_TITLE,头狼
ACH_100_020_DESCRIPTION,利用萨娜的英雄技能击败一名已堕落英雄。
ACH_100_020_TITLE,自然之力
ACH_100_021_DESCRIPTION,使用安布尔时，装备 3 件宝物并拥有 3 名已招募随从。
ACH_100_021_TITLE,随行
ACH_100_022_DESCRIPTION,利用墨丘里奥的英雄能力，偷走另一名英雄的最后1点金币。
ACH_100_022_TITLE,零钱
ACH_100_023_DESCRIPTION,激活布朗的英雄能力消灭另一名英雄。
ACH_100_023_TITLE,远古之怒
ACH_100_024_DESCRIPTION,在同回合中用里弗的英雄技能完成三连杀
ACH_100_024_TITLE,泪流成河
ACH_100_025_DESCRIPTION,扮演巴纳比，拥有三个已装备道具和全副道具卡牌。
ACH_100_025_TITLE,全副武装
ACH_100_026_DESCRIPTION,使用佐沙完成游戏，且整个游戏过程中从未在夜间暴露行踪。
ACH_100_026_TITLE,无踪之影
ACH_100_027_DESCRIPTION,同时装备望远镜和水手灯笼。
ACH_100_027_TITLE,全视之眼
ACH_100_028_DESCRIPTION,在战斗中使用道具，获得 6 个或更多盾牌。
ACH_100_028_TITLE,坚不可摧
ACH_100_029_DESCRIPTION,在一局游戏中装备皇家赦令，杀死 3 名国王守卫。
ACH_100_029_TITLE,外交豁免
ACH_100_030_DESCRIPTION,在一局游戏中，从地牢找到并装备三件宝藏。
ACH_100_030_TITLE,鬣蜥琼斯
ACH_100_031_DESCRIPTION,为一只贝恩进行治疗。
ACH_100_031_TITLE,贝恩救援
ACH_100_032_DESCRIPTION,利用魔镜斗篷在战斗中偷走国王的皇冠。
ACH_100_032_TITLE,新鲜王子
ACH_100_033_DESCRIPTION,对站在王宫地块上的英雄使用闪电打击。
ACH_100_033_TITLE,雷霆穹顶
ACH_100_034_DESCRIPTION,在单局游戏中杀死同一名英雄 5 次。
ACH_100_034_TITLE,恶霸猛犸象
ACH_100_035_DESCRIPTION,在单局游戏中，通过探索地牢发现两座传送门。
ACH_100_035_TITLE,钻进兔子洞
ACH_100_036_DESCRIPTION,在一个回合中，杀死一名与你签有盟友契约的英雄并占领其一个聚落。
ACH_100_036_TITLE,权谋大师
ACH_100_037_DESCRIPTION,在单局游戏里破解 10 个陷阱。
ACH_100_037_TITLE,民间英雄
ACH_100_038_DESCRIPTION,在一局游戏中，从已堕落状态将腐化降为0。
ACH_100_038_TITLE,抛开腐化吧
ACH_100_039_DESCRIPTION,在自身无装备、无随从的情况下，在战斗中杀死另一名英雄。
ACH_100_039_TITLE,熊之所需
ACH_100_040_DESCRIPTION,在一场游戏中，探索地牢获得超过 10 点金币。
ACH_100_040_TITLE,掘金者
ACH_100_041_DESCRIPTION,在第5个黎明前攻破王宫。
ACH_100_041_TITLE,攻城师
ACH_100_042_DESCRIPTION,在单局游戏中达到13点或更多腐化。
ACH_100_042_TITLE,蠕虫阴暗之面
ACH_100_043_DESCRIPTION,重新获得一名在本局游戏中已失去的已招募随从。
ACH_100_043_TITLE,狐猴尼森
ACH_100_044_DESCRIPTION,在你获得悬赏的同一回合对你自己实行缓刑。
ACH_100_044_TITLE,无效审判
ACH_100_045_DESCRIPTION,在单局游戏中打败四个或更多的国王守卫。
ACH_100_045_TITLE,我就是法
ACH_100_046_DESCRIPTION,面临一个神秘的抉择。
ACH_100_046_TITLE,力量之环
ACH_100_047_DESCRIPTION,被一些麻烦的家伙欺骗，落入他们的陷阱。
ACH_100_047_TITLE,地牢交易
ACH_100_048_DESCRIPTION,在一片森林受到难以抗拒的诱惑。
ACH_100_048_TITLE,黑暗诱惑
ACH_100_049_DESCRIPTION,获得阿门罗中最舒适惬意的选项。
ACH_100_049_TITLE,一天一个苹果
ACH_100_050_DESCRIPTION,当上阿门罗的国王或女王 50 次。
ACH_100_050_TITLE,……从此以后便开始了幸福的生活
ACH_PS4_PLAT_DESCRIPTION,解锁全部奖杯。
ACH_PS4_PLAT_TITLE,……从此以后便开始了幸福的生活
ACT1_00_OPENINGSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_0_ADVICE_TEXT,嗨，塞恩！嗨！女训导向你提过我吗？她有吗？我知道她提过！我看到她的信了。我们走吧。哇！
ACT1_00_QUESTSPAWNEDSEQUENCE_CHANGEMETAADVICESEQUENCEELEMENTS_0_ADVICE_CUSTOMTOUCHTEXT,点击相邻方格将塞恩移向<quest_tile>。
ACT1_00_QUESTSPAWNEDSEQUENCE_CHANGEMETAADVICESEQUENCEELEMENTS_0_ADVICE_TEXT,选择相邻地块将塞恩移向 <quest_tile>。
ACT1_00_QUESTSPAWNEDSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,这些是行动点数（AP）。你每个回合有3个行动点数。用它们在地块之间移动。
ACT1_00_QUESTSPAWNEDSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_1_PROMPT_TEXT,你的第一个任务是在 <quest_tile>。从一个地块移到另一个地块，到达这里。
ACT1_00_QUESTSPAWNEDSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_2_PROMPT_TEXT,设法在 2 个回合内到达 <quest_tile>。
ACT1_00_QUESTSPAWNEDSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_0_ADVICE_TEXT,<quest_tile> 在西北方向。这是一个非常愉快的旅途。将非常有趣！
ACT1_01_FIRSTPLAINSSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,进入山脉需要消耗2个行动点数，但会提供防御加成。
ACT1_01_FIRSTPLAINSSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_0_ADVICE_TEXT,哇哦！看这些山！我是说我见过比这更大的。但是现在！需要花几年的时间才能穿越这些山。
ACT1_02_DEPLETEACTIONPOINTSSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_CUSTOMCONTROLLERTEXT,这是回合结束按钮。按此按钮，随时结束回合。
ACT1_02_DEPLETEACTIONPOINTSSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_CUSTOMTOUCHTEXT,这是回合结束按钮。随时点击并长按可结束你的回合。
ACT1_02_DEPLETEACTIONPOINTSSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,这是回合结束按钮。你可以随时结束你的回合。
ACT1_02_DEPLETEACTIONPOINTSSEQUENCE_PROLOGUEADVISORSEQUENCEELEMENTS_0_ADVICE_TEXT,我们能休息一下吗？我的脚疼。
ACT1_03_STARTSECONDTURNSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,这是你的体力。它代表你的生命上限。
ACT1_03_STARTSECONDTURNSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_1_PROMPT_TEXT,如果失去所有生命，你将死亡，并在你所在部族领地内重生。
ACT1_04_QUESTDESCRIPTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,恭喜，你完成了第一个任务！
ACT1_04_QUESTDESCRIPTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_1_PROMPT_TEXT,在任务中，你可以选择危险选项获取奖励，或者选择不冒险。
ACT1_04_QUESTRESOLUTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_0_PROMPT_TEXT,成功了！你的奖励是一名随从。
ACT1_04_QUESTRESOLUTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_1_PROMPT_TEXT,你也会增加 1 点体力。
ACT1_04_QUESTRESOLUTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_2_PROMPT_TEXT,和 1 点声望。
ACT1_04_QUESTTESTACTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_10_PROMPT_TEXT,这是安全选项。
ACT1_04_QUESTTESTACTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_1_PROMPT_TEXT,这个任务的危险选项测试你的体力属性。
ACT1_04_QUESTTESTACTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_2_PROMPT_TEXT,完成这个体力任务，你将增加 1 点体力。
ACT1_04_QUESTTESTACTIONSEQUENCE_FOCUSADVICESEQUENCEELEMENTS_3_PROMPT_TEXT,完成任务还会奖励英雄+1声望，让他们的名声传遍王国。
